Key,EN,GR,DE,PT,IT,Audio,Comment
remember_previous_2_info,"This game focuses on problem solving.
Different kinds of animals will appear below the magical hat. If the animal is the same as the one that appeared two turns ago, select “same.”  If it is different, select “different.”  Select the correct button by looking at it.","Προπονήστε τις δεξιότητές σας επίλυσης προβλημάτων σε συσχετισμό με την ταχεία οπτική επεξεργασία πληροφοριών.
Διαφορετικά είδη ζώων θα εμφανιστούν κάτω από το μαγικό καπέλο. Αν το ζώο είναι το ίδιο όπως αυτό που εμφανίστηκε πριν από δύο γύρους, επιλέξτε “ίδιο”. Αν είναι διαφορετικό, επιλέξτε “διαφορετικό”. Επιλέξτε το σωστό κουμπί κοιτώντας το.","Dieses Spiel konzentriert sich auf das Lösen von Problemen.
Unter dem magischen Hut erscheinen verschiedene Tierarten. Wenn das Tier mit dem Tier identisch ist, das zwei Runden zuvor erschienen ist, wählen Sie ""dasselbe"". Wenn es anders ist, wählen Sie ""anders"".  Wählen Sie die richtige Schaltfläche aus indem Sie Sie ansehen.","Este jogo centra-se na resolução de problemas.
 Diferentes tipos de animais irão aparecer sob o chapéu mágico. Se o animal for igual ao que apareceu à duas rondas atrás, selecione “igual”. Se for diferente, selecione “diferente”. Escolha o botão correto olhando para ele.","Questo gioco si occupa di problem solving.
 Diversi tipi di animali appariranno sotto il cappello magico. Se l'animale è lo stesso di quello apparso due turni fa, seleziona ""lo stesso"". Se è diverso, seleziona ""diverso"". Seleziona il pulsante corretto guardandolo.",,
remember_previous_3_info,"This game focuses on problem solving.
Different kinds of animals will appear below the magical hat. If the animal is the same as the one that appeared three turns ago, select “same.”  If it is different, select “different.”  Select the correct button by looking at it.","Προπονήστε τις δεξιότητές σας επίλυσης προβλημάτων σε συσχετισμό με την ταχεία οπτική επεξεργασία πληροφοριών.
Διαφορετικά είδη ζώων θα εμφανιστούν κάτω από το μαγικό καπέλο. Αν το ζώο είναι το ίδιο όπως αυτό που εμφανίστηκε πριν από τρεις γύρους, επιλέξτε “ίδιο”. Αν είναι διαφορετικό, επιλέξτε “διαφορετικό”. Επιλέξτε το σωστό κουμπί κοιτώντας το.","Dieses Spiel konzentriert sich auf das Lösen von Problemen.
Unter dem magischen Hut erscheinen verschiedene Tierarten. Wenn das Tier mit dem Tier identisch ist, das drei Runden vorher erschienen ist, wählen Sie „dasselbe“. Wenn es anders ist, wählen Sie ""anders"".  Wählen Sie die richtige Schaltfläche aus indem Sie Sie ansehen.","Este jogo centra-se na resolução de problemas.
 Diferentes tipos de animais irão aparecer sob o chapéu mágico. Se o animal for igual ao que apareceu à três rondas atrás, selecione “igual”. Se for diferente, selecione “diferente”. Escolha o botão correto olhando para ele.","Questo gioco si occupa di problem solving.
 Diversi tipi di animali appariranno sotto il cappello magico. Se l'animale è lo stesso di quello apparso tre turni fa, seleziona ""lo stesso"". Se è diverso, seleziona ""diverso"". Seleziona il pulsante corretto guardandolo.",,
animal_feeding_info,"This game focuses on our ability to focus our attention and how quick we can react to feeding the rabbits.

Hungry rabbits will appear in front of you. You need to feed each rabbit, but only once. Select the rabbit you want to feed by looking at it.","Εξασκηθείτε στις οπτικοακουστικές δεξιότητές σας, στο χρόνο αντίδρασης και στην ταχεία επεξεργασία οπτικών πληροφοριών.
Πεινασμένα κουνέλια θα εμφανιστούν μπροστά σας. Θα πρέπει να ταΐσετε κάθε κουνέλι, αλλά μόνο μια φορά. Επιλέξτε το κουνέλι που θέλετε να ταΐσετε κοιτώντας το.
","Dieses Spiel soll Ihre Aufmerksamkeit trainieren. 
Hungrige Kaninchen mit verschiedenen Farben erscheinen vor Ihnen. Sie müssen jedes Kaninchen füttern, aber jedes nur einmal. Wählen Sie das Kaninchen aus, das Sie füttern möchten, indem Sie es ansehen.
","Este jogo testa a capacidade e rapidez de reacção.
 Irá ver à sua frente um grupo de coelhos que necessitam de alimentação. Vai ter que alimentar todos os coelhos, mas apenas uma vez cada um. Selecione o coelho que deseja alimentar olhando para ele.","Questo gioco si concentra sulla capacità di focalizzare la nostra attenzione e su quanto velocemente possiamo interagire per nutrire i conigli.
 Conigli affamati appariranno di fronte a voi. Devi nutrire ogni coniglio, ma solo una volta. Seleziona il coniglio che vuoi nutrire guardandolo.",,
preparing_animal_food_info,"This game practices your ability to focus your attention and how quickly you can react to feeding the rabbits.
A hungry rabbit will appear in front of you and will tell you what food it wants. Select the food to feed the rabbit by looking at the correct food.","Εξασκηθείτε στην προσοχή σας, στο χρόνο αντίδρασης και στην ταχεία επεξεργασία οπτικών πληροφοριών.
Ένα πεινασμένο κουνέλι θα εμφανιστεί μπροστά σας και θα σας πει τι φαγητό θέλει. Επιλέξτε το φαγητό για να ταΐσετε το κουνέλι κοιτώντας το σωστό φαγητό.
","Dieses Spiel trainiert Ihre Aufmerksamkeit und wie schnell Sie auf den Essenswunsch der Kaninchen reagieren können.
Ein hungriges Kaninchen erscheint vor Ihnen und sagt Ihnen, was es essen möchte. Wählen Sie das Futter aus, um das Kaninchen zu füttern, indem Sie sich das richtige Futter ansehen.
","Este jogo testa a capacidade e rapidez de reacção.
 Vai ver à sua frente um coelho que terá que alimentar. O coelho vai indicar-lhe qual o alimento que quer. Selecione o alimento para dar ao coelho olhando para ele.","Questo gioco mette in pratica la tua capacità di focalizzare l'attenzione e quanto velocemente puoi interagire per nutrire i conigli.
 Un coniglio affamato apparirà di fronte a te e ti dirà quale cibo vuole. Seleziona il cibo da dare al coniglio guardando il cibo corretto.",,
marble_game_info,"This game practices your ability to focus on the marble task and how quickly you can complete it.
A labyrinth with marbles will appear in front of you. Your goal is to guide the marbles to the house at the end of the path with the same color. The marbles can be steered by moving the bridges.  Look at the bridge to move it.
","Εξασκηθείτε στην προσοχή σας, στο χρόνο αντίδρασης και στην ταχεία επεξεργασία οπτικών πληροφοριών.
Ένας λαβύρινθος με μπίλιες θα εμφανιστεί μπροστά σας. Ο στόχος σας είναι να κατευθύνετε τις μπίλιες στο σπίτι στο τέλος της πίστας με το ίδιο χρώμα. Οι μπίλιες μπορούν να κατευθυνθούν μετακινώντας τις γέφυρες. Κοιτάξτε στην γέφυρα για να την μετακινήσετε. ","In diesem Spiel üben Sie Ihre Fähigkeit, mehrere Dinge im Blick zu behalten.
Vor Ihnen erscheint ein Labyrinth mit Murmeln. Ihr Ziel ist es, die Murmeln mit derselben Farbe zum Haus am Ende des Weges zu führen. Die Murmel findet den Weg, indem Sie die Brücken bewegen. Bewegen Sie die Brücke am Ende bis die Farbe des Hauses mit der Farbe der Murmel übereinstimmt um Sie in das richtige Haus zu führen. Schauen Sie auf die Brücken, um sie zu bewegen.
","Este jogo testa a capacidade de acompanhar vários objetos.
 Vai ver à sua frente um labirinto com berlindes. O objetivo é guiar os berlindes até a casa no final do caminho com a mesma cor. Os berlindes podem ser guiados movendo as pontes ao longo do caminho. Olhe para a ponte para movê-la.","Questo gioco esercita la tua capacità di concentrarti sulla biglia e quanto velocemente riesci a completarlo.
 Un labirinto con delle biglie apparirà di fronte a te. Il tuo obiettivo è quello di guidare le biglie fino alla casa alla fine del percorso con lo stesso colore. Le biglie possono essere guidate spostando i ponti. Guarda il ponte per muoverlo.",,
,,,,,,,
same,Same,Ίδιο,Gleiche,Igual,Lo stesso,Optional,
different,Different,Διαφορετικό,Andere,Diferente,Diverso,Optional,
game_rememberorder_select,Select the cards by looking at them. You need to select them in the order they appeared.,Επιλέξτε τις κάρτες κοιτάζοντάς τες. Πρέπει να τις επιλέξετε με τη σειρά που εμφανίζονται,"Wählen Sie die Karten aus, indem Sie sie anschauen. Sie müssen Sie in der Reihenfolge auswählen, in der sie gezeigt wurden",Selecione as cartas olhando para elas. Precisa selecioná-las na ordem em que apareceram.,Seleziona le carte guardandole. Devi selezionarle nell'ordine in cui sono apparse.,Required,
response_time,Response time,Χρόνος απόκρισης,Reaktionszeit,Tempo de resposta,Tempo di risposta,,
score,Score,Σκορ,Ergebnis,Pontuação,Punteggio,,
bph0079,Good effort.,Καλή προσπάθεια.,Sie haben gut mitgemacht!,Bom esforço.,Ottimo sforzo,,
bph0085,Well done,Μπράβο,Gut gemacht,Bom trabalho,Ben fatto,,
memory_game,Memory game,Παιχνίδι μνήμης,Memory-Spiel,Jogo de memória,Gioco di memoria,,
marble_game,Marble game,Μάρμαρο παιχνίδι,Murmelspiel,Jogo de berlindes,Gioco della biglia,,
animal_feeding,Animal feeding,Διατροφή των ζώων,Hasenfütterung,Alimentação de animais,Nutrire gli animali,,
preparing_animal_food,Preparing animal food,Προετοιμασία ζωοτροφών,Tierfutter zubereiten,Preparação de comida para animais,Preparare il cibo per gli animali,,
remember_previous,Remember previous game,Θυμηθείτε το προηγούμενο παιχνίδι,Erinnere dich an das vorherige Tier,Lembre-se do jogo anterior,Ricorda i gioco precedente,,
catch_food,Catch food game,Πιάστε τα τρόφιμα,Äpfel fangen,Jogo de apanhar a comida,Gioco di prendere il cibo,,
