bph0039;Caminhe pela sala enquanto pratica movimentos diagonais da cabeça em forma de "v". Olhe para cima à esquerda, para baixo ao centro e para a cima à direita. Pode começar em qualquer direcção. Tente praticar durante um minuto.
bph0040;A sua postura está incorrecta. Por favor, deixe-me mostrar-lhe novamente.
bph0041;Por favor tente novamente, mas desta vez tente virar a sua cabeça mais lentamente.
bph0042;Por favor tente novamente, mas desta vez tente virar a sua cabeça mais rapidamente!
bph0043;Por favor tente novamente, mas desta vez tente não virar tanto a sua cabeça.
bph0044;Parou muito cedo. Por favor, continue se puder e eu avisá-lo-ei quando tiver terminado.
bph0045;Passaremos agora a outro exercício.
bph0046;Tente manter os seus pés no chão ao fazer este exercício.
bph0047;Por favor, pare. O movimento está incorrecto.
bph0048;Por favor tente novamente, mas desta vez tente inclinar-se mais lentamente.
bph0049;Por favor tente novamente, mas desta vez tente inclinar-se mais rapidamente.
bph0050;Da próxima vez, por favor tente trazer a sua cabeça de volta para uma posição vertical enquanto sobe.
bph0051;Da próxima vez, ao inclinar-se, certifique-se de encostar o seu queixo ao peito.
bph0052;À medida que se inclina para baixo, certifique-se de encostar o queixo ao peito e volte a colocar a sua cabeça numa posição vertical enquanto se levanta.
bph0053;Teve uma perda de equilíbrio.
bph0054;Não faz mal. Vamos tentar novamente.
bph0055;Por favor, volte para a posição central com o seu peso sobre a planta do pé.
bph0056;Por favor, tente completar as cinco repetições
bph0057;Da próxima vez, à medida que levanta o braço, por favor não se esqueça de inclinar ligeiramente a sua cabeça para trás.
bph0058;Está a virar mais do que o indicado.
bph0059;Está a virar menos do que o indicado.
bph0060;Por favor, tente olhar para o horizonte e não para o chão .
bph0061;Por favor, tente andar mais devagar.
bph0062;Por favor, tente andar mais rapidamente.
bph0063;Por favor, tente transferir o seu peso corporal para a frente com cada passo.
bph0064;Parou muito cedo, por favor tente continuar o exercício
bph0065;Tente virar a sua cabeça para a esquerda e para a direita para olhar para trás e para a frente entre os dois alvos
bph0066;Tente andar com o troco direito, sem se inclinar para trás ou para a frente
bph0067;Informá-lo-ei quando tiver terminado
bph0068;Parou demasiado cedo, por favor continue o exercício. Aviso-o quando tiver terminado.
bph0069;Parou demasiado cedo.
bph0070;Por favor, tente continuar o exercício.
bph0071;Tente mover a sua cabeça para cima para olhar para o tecto e para baixo para olhar para o chão.
bph0072;Tente fazer um movimento diagonal da cabeça na forma de um "v".
bph0073;Diga-me, por favor, sente-se tonto?
bph0074;Por favor classifique a sua tontura como ligeira, moderada ou severa.
bph0075;Tinha a sensação de que a sala estava a girar enquanto fazia o exercício?
bph0076;Obrigado por me avisar, o seu fisioterapeuta entrará em contacto consigo para discutir o assunto em mais detalhe.
bph0077;Está com dores de cabeça? Por favor responda sim ou não.
bph0078;A sua visão desfocou-se quando virou a cabeça? Por favor responda sim ou não.
bph0079;Bom esforço.
bph0080;Bom trabalho.
bph0081;Bom trabalho.
bph0082;Por favor, comece
bph0083;Por favor, pare
bph0084;Por favor aguarde até eu lhe pedir para começar
bph0085;Muito bem feito
bph0086;Está a fazer bons progressos. Muito bem feito.
bph0087;Por favor, diga-me, sente-se desorientado? Responda sim ou não.
bph0088;Está pronto para passar para outro exercício? Por favor responda sim ou não.
bph0089;A sua visão desfocou-se ao fazer o exercício? Por favor responda sim ou não.
bph0090;Por favor classifique a sua tontura como ligeira, moderada ou severa.
bph0091;Por favor classifique a sua tontura como ligeira, moderada ou severa.
bph0092;Por favor classifique a sua visão desfocada como suave, ligeira, moderada ou severa
bph0093;Por favor, reinicie o sistema seguindo as instruções do manual
bph0094;Por favor, avalie-o com ligeira, moderada ou severa
bph0095;Por favor, abane os pés para activar as palmilhas de pressão.
bph0096;Por favor, aproxime-se do sistema para que os sensores possam ser conectados
bph0097;Por favor carregue os sensores da cabeça e das costas
bph0098;Por favor carregue as baterias das palmilhas
bph0099;Por favor não se mexa para que possamos começar o exercício.
bph0100;Está pronto para passar para outro exercício? Por favor responda sim ou não.
bph0101;Tem algum sintoma? Por favor responda sim ou não.
bph0102;Estou a tentar estabelecer uma ligação com os sensores.
bph0103;Por favor, aproxime-se do computador.
bph0104;Por favor, aproxime-se da câmara.
bph0105;Por favor, vire-se de costas para o computador.
bph0106;Por favor, carregue os sensores e tente novamente.
bph0107;Olá, espero que esteja bem. Vamos começar. Por favor, ouça as instruções e não comece o exercício até que tenha ouvido as instruções e me tenha visto a fazer o exercício. Se em algum momento durante o exercício precisar de parar, por favor, diga "PARE".
bph0108;É tudo por hoje. Muito obrigado pela sua cooperação, e tenha um bom dia. Fiquei contente por poder ajudar.
bph0109;Não consegui ligar-me aos sensores das palmilhas. Por favor, continue o exercício com cuidado.
bph0110;Por favor, classifique o seu grau de frustração como ausente, baixo, moderado ou severo.
